vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
a12a57c0-4506-4186-98fa-70c1552a268b,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,تپسی گاراژ (تهران),211.0,Bestseller,لاستیک بارز 185/65 R14,71.0,26.0,102.0,🟩Inventory Level is Ok,-,مرکز عملیات-کهریزک,تهران
a12a57c0-4506-4186-98fa-70c1552a268b,61b1e4ce-32c5-4ec5-b8ef-0917650eb77a,Retail,تپسی گاراژ (تهران),54.0,Bestseller,لاستیک بارز 165/65 R13,22.0,17.0,62.0,🟩Inventory Level is Ok,-,مرکز عملیات-کهریزک,تهران
76fa291e-49c0-4119-a690-65d34a7900d5,e1d0ef3d-0c9f-48d4-94b7-7b33663cdf54,Marketplace,تعویض روغنی محمود(منطقه 12-خیابان مازندران),-,Bestseller,پک بهران سوپر پیشتاز (20W50 -SL 4L) + فیلتر روغن و هوا مناسب پژو 405 و سمند,123.0,13.0,58.0,🟩Inventory Level is Ok,-,-,تهران
e5b6b784-501a-49f1-8974-4a93ac63b3f9,e1d0ef3d-0c9f-48d4-94b7-7b33663cdf54,Marketplace,تعویض روغن حمید(منطقه 19-نعمت آباد),-,Bestseller,پک بهران سوپر پیشتاز (20W50 -SL 4L) + فیلتر روغن و هوا مناسب پژو 405 و سمند,89.0,11.0,44.0,🟩Inventory Level is Ok,-,-,تهران
dbd68404-2165-42d6-be83-0b5de071c8ef,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,خدمات لاستیک فرزاد (رشت - مسکن مهر),211.0,Bestseller,لاستیک بارز 185/65 R14,6.0,8.0,38.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,رشت
3ff08e59-e3ca-4e2a-982e-504c4e2a366d,e1d0ef3d-0c9f-48d4-94b7-7b33663cdf54,Marketplace,اتوسرویس فدایی (منطقه 16 - چهارراه علی آباد),-,Bestseller,پک بهران سوپر پیشتاز (20W50 -SL 4L) + فیلتر روغن و هوا مناسب پژو 405 و سمند,23.0,9.0,38.0,🟩Inventory Level is Ok,-,-,تهران
405831a7-a8a5-45e7-9975-ea0f709852ef,3aaefb4c-e88f-4557-b723-79d9d71eba62,Retail,رینگ و لاستیک اسدی (مشهد-کوهسنگی),434.0,Bestseller,لاستیک بارز 185/65 R15,5.0,8.0,35.0,🟥Supply Needed,-,مرکز عملیات-مشهد,مشهد
c41035a0-a8db-4aba-b999-4523805a9b7e,61b1e4ce-32c5-4ec5-b8ef-0917650eb77a,Retail,رینگ و لاستیک ساعدی(اهواز -بلوار اکباتان),46.0,Bestseller,لاستیک بارز 165/65 R13,0.0,11.0,34.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اهواز
1afdc735-7390-4e67-85e8-182dc91e585b,3721d8e6-a2f5-4fc6-ace1-601ecbfb2e85,Retail,اتوسرویس جهان (شیراز - جاده صدرا),12.0,Bestseller,بهران سوپر پیشتاز  (SL 20W50)  4 لیتری پلاستیکی,2.0,6.0,34.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,شیراز
d6110f39-c229-4eef-be6e-52866d2bbe30,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,اتو سرویس عبدی (منطقه 18 - خلیج فارس),211.0,Bestseller,لاستیک بارز 185/65 R14,0.0,12.0,34.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
8407a498-b35b-424c-9c00-b20b36a1873a,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,اتوسرویس امین(اهواز -شهرک دانشگاه),708.0,Bestseller,لاستیک بارز 185/65 R14,8.0,8.0,34.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اهواز
0c7442b3-09b9-4d93-a9cc-784348b8e704,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,اسپرت تایر رضایی (منطقه 17 -  فلاح),211.0,Bestseller,لاستیک بارز 185/65 R14,2.0,9.0,34.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
029f96df-4cf8-4f23-b1e5-7836c6d251ab,5b89b467-de27-4ce0-acd9-094cf26be6e4,Marketplace,اتو سرویس مدرن(منطقه 3-کاووسیه),-,Bestseller,پک بهران سوپر پیشتاز( SL 10W40) 4L فیلتر روغن و هوا مناسب پژو207و206 TU5،سمند و دنا EF7,4.0,8.0,34.0,🟥Supply Needed,-,-,تهران
ef0b084c-468a-4860-85e3-a3dbe8d60812,b75e504a-fabb-44db-a197-3a86a67fa964,Marketplace,تاپ سرویس پدال(منطقه 4-تهرانپارس),-,Bestseller,پک ایرانول 16000 (20W50 - SL 4L) + فیلترروغن و هوا مناسب پژو405،سمند 1800,0.0,7.0,34.0,🟥Supply Needed,-,-,تهران
60bf3b42-32bf-41d6-89a9-cf4fd6b53f3b,489aace2-4884-42e2-b4a0-66bd6d74df26,Marketplace,مرکز تخصصی دنیای روغن (دیجی اویلکا)(اصفهان-ملک شهر),0.0,Bestseller,فلومکس مگاتک اکو (SL 20W50) 4 لیتری پلاستیکی,38.0,6.0,34.0,🟩Inventory Level is Ok,-,مرکز عملیات-اصفهان,اصفهان
433bdf0a-5e6a-428a-8a9b-5fe42dbce458,30445ee6-6feb-4168-a4c1-29c6a4d6dc85,Retail,مجتمع خودرویی تشریفات (منطقه 20 - شهرری),211.0,Bestseller,لاستیک بارز 185/65 R14,11.0,9.0,34.0,🟩Inventory Level is Ok,-,مرکز عملیات-کهریزک,تهران
a12a57c0-4506-4186-98fa-70c1552a268b,1653871a-79de-46d2-bea7-86db3200a63f,Retail,تپسی گاراژ (تهران),2993.0,Bestseller,لاستیک بارز 175/70 R13,29.0,8.0,34.0,🟩Inventory Level is Ok,-,مرکز عملیات-کهریزک,تهران
a12a57c0-4506-4186-98fa-70c1552a268b,3aaefb4c-e88f-4557-b723-79d9d71eba62,Retail,تپسی گاراژ (تهران),259.0,Bestseller,لاستیک بارز 185/65 R15,92.0,11.0,34.0,🟩Inventory Level is Ok,-,مرکز عملیات-کهریزک,تهران
d6110f39-c229-4eef-be6e-52866d2bbe30,9245a172-8a1c-4719-80ce-3fd6360656ad,Marketplace,اتو سرویس عبدی (منطقه 18 - خلیج فارس),-,Regular & Fairly Stable,پک ایرانول 12000 مکس(20w50 -sj 4L) +فیلتر روغن و هوا مناسب پراید,18.0,8.0,34.0,🟩Inventory Level is Ok,-,-,تهران
bade64f0-1155-40a4-9af9-58db1d3a35b5,b75e504a-fabb-44db-a197-3a86a67fa964,Marketplace,اتوسرویس  امیرسالار (منطقه 4 - خیابان زهدی),-,Bestseller,پک ایرانول 16000 (20W50 - SL 4L) + فیلترروغن و هوا مناسب پژو405،سمند 1800,17.0,8.0,34.0,🟩Inventory Level is Ok,-,-,تهران
7506357c-c2c8-4e69-b766-500264c5517f,b75e504a-fabb-44db-a197-3a86a67fa964,Marketplace,اتوسرویس انور (رباط کریم),-,Bestseller,پک ایرانول 16000 (20W50 - SL 4L) + فیلترروغن و هوا مناسب پژو405،سمند 1800,16.0,8.0,34.0,🟩Inventory Level is Ok,-,-,تهران
